REGIONS/COUNTRIES,Year,Sales
EUROPE,2005,17906455.0
EU 28 countries + EFTA,2005,15622035.0
EU 15 countries + EFTA,2005,14565695.0
AUSTRIA,2005,307915.0
BELGIUM,2005,480088.0
DENMARK,2005,148819.0
FINLAND,2005,148161.0
FRANCE,2005,2118042.0
GERMANY,2005,3319259.0
GREECE,2005,269728.0
ICELAND,2005,18060.0
IRELAND,2005,171742.0
ITALY,2005,2244108.0
LUXEMBOURG,2005,48517.0
NETHERLANDS,2005,465196.0
NORWAY,2005,109907.0
PORTUGAL,2005,206488.0
SPAIN,2005,1528877.0
SWEDEN,2005,274301.0
SWITZERLAND (+FL),2005,266770.0
UNITED KINGDOM,2005,2439717.0
EUROPE NEW MEMBERS,2005,1056340.0
BULGARIA*,2005,25956.0
CROATIA,2005,70541.0
CYPRUS,2005,17687.0
CZECH REPUBLIC,2005,151699.0
ESTONIA,2005,19640.0
HUNGARY,2005,198982.0
LATVIA,2005,10467.0
LITHUANIA,2005,16602.0
MALTA,2005,6552.0
POLAND,2005,207007.0
ROMANIA,2005,214967.0
SLOVAKIA,2005,56916.0
SLOVENIA,2005,59324.0
"RUSSIA, TURKEY & OTHER EUROPE",2005,2284420.0
ALBANIA,2005,800.0
ARMENIA,2005,11000.0
BELARUS,2005,9000.0
BOSNIA,2005,10000.0
GEORGIA,2005,1500.0
MACEDONIA,2005,9300.0
MOLDAVIA,2005,4000.0
RUSSIA,2005,1520225.0
SERBIA,2005,21603.0
TURKEY,2005,438597.0
UKRAINE,2005,258395.0
AMERICA,2005,11558126.0
NAFTA,2005,9221429.0
CANADA,2005,847436.0
MEXICO,2005,714010.0
UNITED STATES OF AMERICA,2005,7659983.0
CENTRAL & SOUTH AMERICA,2005,2336697.0
ARGENTINA,2005,290648.0
BAHAMAS,2005,2500.0
BELIZE,2005,100.0
BOLIVIA,2005,1000.0
BRAZIL,2005,1369182.0
CHILE,2005,140000.0
COLOMBIA,2005,120000.0
COSTA RICA,2005,13000.0
CUBA,2005,2000.0
DOMINICAN REPUBLIC,2005,16000.0
ECUADOR,2005,54342.0
EL SALVADOR,2005,4000.0
GUADELOUPE,2005,14359.0
GUATEMALA,2005,8100.0
GUYANA,2005,4085.0
HONDURAS,2005,4800.0
JAMAICA,2005,3000.0
MARTINIQUE,2005,14749.0
NICARAGUA,2005,3000.0
PANAMA,2005,10000.0
PARAGUAY,2005,3000.0
PERU,2005,14231.0
PUERTO RICO,2005,96000.0
TRINIDAD,2005,10000.0
URUGUAY,2005,10000.0
VENEZUELA,2005,128601.0
ASIA/OCEANIA/MIDDLE EAST,2005,14917385.0
AUSTRALIA,2005,608804.0
AZERBAIDJAN,2005,12100.0
BAHRAIN,2005,18000.0
BANGLADESH,2005,6500.0
BRUNEI,2005,15000.0
CAMBODGE,2005,1000.0
CHINA,2005,3971101.0
HONG-KONG,2005,27483.0
INDIA,2005,1106863.0
INDONESIA,2005,364319.0
IRAK,2005,2000.0
IRAN,2005,730000.0
ISRAEL,2005,130000.0
JAPAN,2005,4748482.0
JORDAN,2005,10000.0
KAZAKSTAN,2005,39800.0
KIRGHIZISTAN,2005,5000.0
KUWAIT,2005,50000.0
LAOS,2005,1000.0
LEBANON,2005,15000.0
MALAYSIA,2005,410892.0
MONGOLIA,2005,500.0
MYANMAR,2005,1000.0
NEPAL,2005,1000.0
NEW CALEDONIA,2005,7397.0
NEW ZEALAND,2005,77825.0
OMAN,2005,148100.0
PAKISTAN,2005,141326.0
PALESTINE,2005,13500.0
PHILIPPINES,2005,35063.0
QATAR,2005,61200.0
SAUDI ARABIA,2005,408700.0
SINGAPORE,2005,109167.0
SOUTH KOREA,2005,893159.0
SRI LANKA,2005,2600.0
SYRIA,2005,32985.0
TADJIKISTAN,2005,5300.0
TAHITI,2005,5200.0
TAIWAN,2005,325840.0
THAILAND,2005,178291.0
TUKMENISTAN,2005,3900.0
UNITED ARAB EMIRATES,2005,137000.0
UZBEKISTAN,2005,28500.0
VIETNAM,2005,24888.0
YEMEN,2005,4000.0
AFRICA,2005,795842.0
ALGERIA,2005,71046.0
ANGOLA,2005,6000.0
BOTSWANA,2005,12905.0
BURKINA,2005,500.0
BURUNDI,2005,500.0
CAMEROON,2005,1300.0
CONGO,2005,200.0
EGYPT,2005,94538.0
GABON,2005,800.0
GHANA,2005,2500.0
IVORY COAST,2005,2000.0
KENYA,2005,2000.0
LIBERIA,2005,300.0
LIBYA,2005,35000.0
MADAGASCAR,2005,930.0
MALAWI,2005,930.0
MAURITIUS,2005,2900.0
MOROCCO,2005,56183.0
NIGERIA,2005,16000.0
REUNION,2005,25142.0
SENEGAL,2005,3000.0
SOUTH AFRICA,2005,419868.0
SUDAN,2005,2000.0
TANZANIA,2005,2000.0
TUNISIA,2005,25000.0
UGANDA,2005,3000.0
ZAMBIA,2005,2300.0
ZIMBABWE,2005,7000.0
